title,price,total sold,link
Python Programming: An Introduction to Computer Science,$1.86,0,https://www.ebay.com/itm/Python-Programming-An-Introduction-to-Computer-Science/353232164928?epid=30224704&hash=item523e471840:g:cU8AAOSw4CFYp-rr	
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",$14.25,0,https://www.ebay.com/itm/Python-Crash-Course-A-Hands-On-Project-Based-Introduction-to-Programming/184437593808?epid=204248933&hash=item2af15656d0:g:NakAAOSwjqVZGzTo	
High Performance Python : Practical Performant Programming for Humans,0,0,https://www.ebay.com/itm/High-Performance-Python-Practical-Performant-Programming-for-Humans/174475059067?epid=159796191&hash=item289f861f7b:g:BeIAAOSw4A5YpUs1	
Python High Performance Programming,$37.54,0,https://www.ebay.com/itm/Python-High-Performance-Programming/184051136024?epid=203513221&hash=item2ada4d7618:g:fZ0AAOSwsK9fhrX6	
"Python High Performance Programming, Lanaro, Gabriele, Good Book",$26.02,0,https://www.ebay.com/itm/Python-High-Performance-Programming-Lanaro-Gabriele-Good-Book/133435173886?epid=203513221&hash=item1f115b2bfe:g:ItwAAMXQVT9TCji~	
Black Hat Python: Python Programming for Hackers and Pentesters by Justin Seitz,$25.82,7,https://www.ebay.com/itm/Black-Hat-Python-Python-Programming-for-Hackers-and-Pentesters-by-Justin-Seitz/381927239324?epid=201611591&hash=item58eca32e9c:g:boIAAOSwmyBfiDMI	
"PROGRAMMING BOOKS LOT — ALL LIKE NEW CONDITION, FROM $5.00!",$5.00,0,https://www.ebay.com/itm/PROGRAMMING-BOOKS-LOT-ALL-LIKE-NEW-CONDITION-FROM-5-00/274512753265?epid=235523296&hash=item3fea3c3271:g:g9sAAOSwtjtfci2Z	
"Automate the Boring Stuff with Python, 2nd Edition : Practical Programming...",$23.30,0,https://www.ebay.com/itm/Automate-the-Boring-Stuff-with-Python-2nd-Edition-Practical-Programming/133545295755?epid=17038376458&hash=item1f17eb7f8b:g:F6IAAOSw-4BfhRSS	
Python Programming: An Introduction to Computer Science,$5.63,0,https://www.ebay.com/itm/Python-Programming-An-Introduction-to-Computer-Science/124356906516?epid=30224704&hash=item1cf43fce14:g:cU8AAOSw4CFYp-rr	
Game Programming With Python [Game Development Series],$13.70,0,https://www.ebay.com/itm/Game-Programming-With-Python-Game-Development-Series/184467829777?epid=2441196&hash=item2af323b411:g:Up0AAOSwXYtYv229	
"Python Programming: An Introduction to Computer Science, 3rd Ed.",0,0,https://www.ebay.com/itm/Python-Programming-An-Introduction-to-Computer-Science-3rd-Ed/174476781787?epid=234931902&hash=item289fa068db:g:LDUAAOSwcylfamKK	
"Python Programming: The Ultimate Advanced Guide to Python Coding Language, Machi",$15.36,0,https://www.ebay.com/itm/Python-Programming-The-Ultimate-Advanced-Guide-to-Python-Coding-Language-Machi/383753563982?hash=item59597eaf4e:g:rA0AAOSwFDpfe6JE	
"Python Programming for the Absolute Beginner, 3rd Edition",$9.67,0,https://www.ebay.com/itm/Python-Programming-for-the-Absolute-Beginner-3rd-Edition/333751780560?epid=74227442&hash=item4db52804d0:g:ivwAAOSwSlBYv1fa	
Murach's Python Programming - Paperback By Michael Urban - Good Condition [R102],$34.50,0,https://www.ebay.com/itm/Murachs-Python-Programming-Paperback-By-Michael-Urban-Good-Condition-R102/353227005370?hash=item523df85dba:g:CnIAAOSwe-dfe4jc	
Python Programming: An Introduction to Computer Science,$1.88,0,https://www.ebay.com/itm/Python-Programming-An-Introduction-to-Computer-Science/373155790907?epid=30224704&hash=item56e1d1803b:g:cU8AAOSw4CFYp-rr	
Automate the Boring Stuff With Python: Practical Programming for (1593279922),$22.00,0,https://www.ebay.com/itm/Automate-the-Boring-Stuff-With-Python-Practical-Programming-for-1593279922/383755306925?epid=17038376458&hash=item59599947ad:g:jn4AAOSwdLJffeSl	
Introduction to Computation and Programming Using Python: With Application to Un,$27.10,1,https://www.ebay.com/itm/Introduction-to-Computation-and-Programming-Using-Python-With-Application-to-Un/254734625494?epid=221599978&hash=item3b4f5dead6:g:1xgAAOSwax5YsVaG	
ProgrammingSeries Ser.: Python Programming : An Introduction to Computer Science,0,0,https://www.ebay.com/itm/ProgrammingSeries-Ser-Python-Programming-An-Introduction-to-Computer-Science/333751575142?epid=92388121&hash=item4db524e266:g:hVwAAOSwdvlfX02n	
